82-1: {234,154,0,0,334,347,11,0,244,279,0,0,353,116,28,0,294,219,21,0,310,101,28,0,284,75,20,0,293,194,5,0,309,274,8,0,295,93,4,0,244,279,0,0,324,199,8,1,324,199,0,1,312,131,4,1,265,201,20,0},
82-2: {430,299,23,0,335,174,7,0,321,238,28,0,318,238,20,0,280,310,28,0,340,220,28,0,289,171,4,0,317,328,1,0,382,170,8,0,372,323,3,0,317,170,7,0,324,178,0,0,280,310,20,1,308,337,4,0,319,238,28,0},
2-2: {386,227,28,0,290,243,0,0,386,227,4,0,248,256,16,0,320,203,0,0,340,144,0,0,290,183,0,0,340,183,0,0,355,238,8,0,335,164,0,0,224,223,8,0,270,183,0,0,310,183,24,1,205,242,4,0,224,223,4,0},
83-1: {263,136,0,1,251,273,4,0,251,273,0,0,345,252,0,0,343,176,24,0,283,136,0,0,283,196,16,0,283,168,8,0,318,177,16,0,338,196,0,0,236,232,28,0,323,216,16,0,283,136,24,1,349,249,20,0,344,292,28,1},
83-2: {259,188,31,0,288,263,3,0,276,289,3,1,340,291,30,0,305,202,0,0,283,325,9,0,325,162,0,0,325,182,0,0,305,177,8,0,320,237,24,0,407,340,6,0,365,162,0,1,377,242,28,0,334,341,4,0,354,219,28,0},
3-1: {241,159,0,1,298,182,20,0,325,210,12,1,281,265,12,0,268,345,0,1,288,285,0,0,248,285,24,0,248,285,16,1,293,381,8,1,268,290,8,0,253,237,28,0,288,265,24,1,308,305,0,1,354,181,28,1,262,134,28,0},
3-2: {302,183,8,0,243,162,0,0,287,223,4,1,339,285,7,0,307,230,0,1,324,197,0,0,265,148,4,0,307,258,8,0,369,148,8,0,342,237,0,0,298,157,7,0,324,197,0,0,307,218,0,0,364,120,20,0,241,317,12,1},
84-1: {222,172,4,0,335,172,20,0,294,272,0,0,354,212,4,0,334,272,0,0,334,312,16,0,374,192,0,0,354,132,0,0,339,292,0,0,349,113,0,0,294,213,0,0,334,232,8,0,334,132,0,0,354,312,0,1,294,272,0,0},
84-2: {290,304,8,0,193,214,1,0,370,304,0,1,251,247,30,0,311,284,12,0,269,180,29,0,269,330,29,0,235,309,29,0,209,355,5,0,251,174,5,0,304,222,13,0,263,231,29,0,214,341,19,1,346,280,12,0,304,237,3,0},
4-1: {233,140,3,0,254,250,11,0,344,213,28,0,372,258,7,0,363,193,0,0,322,194,24,0,362,133,0,0,322,193,16,0,302,189,8,0,327,118,8,0,281,278,30,0,402,193,16,0,322,133,0,0,231,282,4,0,344,213,28,0},
